

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.009  , 0.019  ,  0.7782  , 0.78493  , 0.80976  , 0.76194  , 739.2 
rbf  , 0.009  , 0.021  ,  0.7776  , 0.7815  , 0.79575  , 0.76813  , 805.0 
rbf  , 0.009  , 0.023  ,  0.7735  , 0.77414  , 0.77653  , 0.77213  , 864.4 
rbf  , 0.009  , 0.025  ,  0.7703  , 0.7678  , 0.75972  , 0.77654  , 926.9 
rbf  , 0.011  , 0.001  ,  0.601  , 0.71023  , 0.97816  , 0.55763  , 94.5 
rbf  , 0.011  , 0.003  ,  0.7275  , 0.77742  , 0.952  , 0.65708  , 186.3 
rbf  , 0.011  , 0.005  ,  0.7571  , 0.79347  , 0.93343  , 0.69014  , 259.9 
rbf  , 0.011  , 0.007  ,  0.7691  , 0.79837  , 0.91451  , 0.70865  , 330.6 
rbf  , 0.011  , 0.009  ,  0.7755  , 0.79973  , 0.8966  , 0.72212  , 398.7 
rbf  , 0.011  , 0.011  ,  0.7784  , 0.7988  , 0.87977  , 0.7318  , 469.3 
rbf  , 0.011  , 0.013  ,  0.7792  , 0.79587  , 0.8609  , 0.74023  , 535.2 
rbf  , 0.011  , 0.015  ,  0.7802  , 0.79342  , 0.84433  , 0.7486  , 603.1 
rbf  , 0.011  , 0.017  ,  0.7792  , 0.78884  , 0.82508  , 0.75593  , 671.6 
rbf  , 0.011  , 0.019  ,  0.7783  , 0.78505  , 0.80996  , 0.76198  , 740.2 
rbf  , 0.011  , 0.021  ,  0.7774  , 0.78126  , 0.79533  , 0.76802  , 805.8 
rbf  , 0.011  , 0.023  ,  0.7737  , 0.77429  , 0.77654  , 0.77244  , 866.3 
rbf  , 0.011  , 0.025  ,  0.7704  , 0.76798  , 0.76012  , 0.77646  , 930.0 
rbf  , 0.013  , 0.001  ,  0.6025  , 0.71067  , 0.97654  , 0.5587  , 100.4 
rbf  , 0.013  , 0.003  ,  0.7276  , 0.77752  , 0.95221  , 0.65713  , 186.4 
rbf  , 0.013  , 0.005  ,  0.7573  , 0.79364  , 0.93364  , 0.69029  , 259.6 
rbf  , 0.013  , 0.007  ,  0.7689  , 0.79816  , 0.9141  , 0.70856  , 331.8 
rbf  , 0.013  , 0.009  ,  0.7757  , 0.79984  , 0.8964  , 0.72244  , 398.9 
rbf  , 0.013  , 0.011  ,  0.7783  , 0.79872  , 0.87977  , 0.73168  , 469.3 
rbf  , 0.013  , 0.013  ,  0.7792  , 0.79591  , 0.8611  , 0.74014  , 536.3 
rbf  , 0.013  , 0.015  ,  0.7803  , 0.79354  , 0.84454  , 0.74864  , 604.4 
rbf  , 0.013  , 0.017  ,  0.7789  , 0.7884  , 0.82407  , 0.75598  , 672.3 
rbf  , 0.013  , 0.019  ,  0.7788  , 0.78547  , 0.81015  , 0.7626  , 741.7 
rbf  , 0.013  , 0.021  ,  0.7775  , 0.78143  , 0.79574  , 0.76798  , 806.6 
