

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.0295  , 0.0195  ,  0.8564  , 0.8697  , 0.95655  , 0.79732  , 2505.0  ,  23895   , 1105  , 6061  , 18939
rbf  , 0.0295  , 0.022  ,  0.85816  , 0.87085  , 0.95455  , 0.80066  , 2698.0  ,  23817   , 1183  , 5898  , 19102

Trojan name: HT2_1 - 4 ==> Best params: nu = 0.027  , gamma = 0.022  , F1_score = 0.8711  


New occurence at: 2021-03-05 00:48:28.474442, Trojan name: HT2_2 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.005  , 0.014  ,  0.94832  , 0.95016  , 0.97614  , 0.92553  , 1328.0  ,  24443   , 557  , 1893  , 23107
rbf  , 0.005  , 0.0165  ,  0.9494  , 0.95095  , 0.97201  , 0.93078  , 1615.0  ,  24331   , 669  , 1749  , 23251
rbf  , 0.005  , 0.019  ,  0.94888  , 0.95024  , 0.96726  , 0.93381  , 1907.0  ,  24191   , 809  , 1641  , 23359
rbf  , 0.005  , 0.0215  ,  0.948  , 0.94913  , 0.96154  , 0.93705  , 2235.0  ,  24060   , 940  , 1554  , 23446
rbf  , 0.005  , 0.024  ,  0.9468  , 0.9477  , 0.95528  , 0.94024  , 2533.0  ,  23903   , 1097  , 1465  , 23535
rbf  , 0.0075  , 0.014  ,  0.94868  , 0.95049  , 0.97614  , 0.92616  , 1335.0  ,  24442   , 558  , 1889  , 23111
rbf  , 0.0075  , 0.0165  ,  0.94948  , 0.95102  , 0.97201  , 0.93093  , 1617.0  ,  24328   , 672  , 1749  , 23251
rbf  , 0.0075  , 0.019  ,  0.94896  , 0.95031  , 0.96726  , 0.93396  , 1910.0  ,  24192   , 808  , 1641  , 23359
rbf  , 0.0075  , 0.0215  ,  0.94804  , 0.94917  , 0.96154  , 0.93712  , 2237.0  ,  24062   , 938  , 1551  , 23449
rbf  , 0.0075  , 0.024  ,  0.94676  , 0.94766  , 0.95528  , 0.94017  , 2537.0  ,  23902   , 1098  , 1467  , 23533
rbf  , 0.01  , 0.014  ,  0.94948  , 0.9512  , 0.97574  , 0.92787  , 1368.0  ,  24428   , 572  , 1876  , 23124
rbf  , 0.01  , 0.0165  ,  0.9496  , 0.95111  , 0.97161  , 0.93146  , 1624.0  ,  24320   , 680  , 1740  , 23260
rbf  , 0.01  , 0.019  ,  0.94896  , 0.95031  , 0.96718  , 0.93402  , 1915.0  ,  24188   , 812  , 1639  , 23361
rbf  , 0.01  , 0.0215  ,  0.94804  , 0.94916  , 0.96139  , 0.93725  , 2239.0  ,  24064   , 936  , 1551  , 23449
rbf  , 0.01  , 0.024  ,  0.94672  , 0.94763  , 0.95528  , 0.9401  , 2539.0  ,  23903   , 1097  , 1467  , 23533
rbf  , 0.0125  , 0.014  ,  0.94944  , 0.95108  , 0.97399  , 0.92922  , 1427.0  ,  24391   , 609  , 1834  , 23166
rbf  , 0.0125  , 0.0165  ,  0.94992  , 0.95139  , 0.97114  , 0.93243  , 1658.0  ,  24293   , 707  , 1719  , 23281
rbf  , 0.0125  , 0.019  ,  0.94908  , 0.9504  , 0.96678  , 0.93457  , 1927.0  ,  24182   , 818  , 1641  , 23359
rbf  , 0.0125  , 0.0215  ,  0.94812  , 0.94923  , 0.96115  , 0.9376  , 2242.0  ,  24062   , 938  , 1548  , 23452
rbf  , 0.0125  , 0.024  ,  0.94684  , 0.94774  , 0.95528  , 0.94032  , 2541.0  ,  23903   , 1097  , 1466  , 23534
rbf  , 0.015  , 0.014  ,  0.9504  , 0.95191  , 0.97288  , 0.93183  , 1519.0  ,  24361   , 639  , 1765  , 23235
