    4300,    4100,   25600,    3300,    4400,    4460,    4020,   25720,    3180,    3160,
    3900,    3900,   26100,    3400,    1000,    4360,    3680,   26000,    3260,     860,
    4600,     800,   26200,    1000,    4300,    4600,     820,   25920,     840,    3100,
    4600,    3400,   25600,    1000,    2600,    4580,    3700,   25920,     840,    2800,
    4300,    1100,   25900,    1000,    1000,    4420,     980,   25900,     820,    3080,
    4100,    4100,   26100,     800,    4400,    4540,    3740,   25880,     820,    3340,
    5100,    1000,   26200,    3100,    3100,    4980,     940,   25840,    3740,    3780,
    4600,    3300,   26100,     800,    2600,    4420,    3340,   25980,     860,    3740,
    1000,    3800,   26200,    3100,    2900,    3860,    3840,   26000,    3780,    3660,
    1300,    5100,   25600,    4300,     700,    1140,    3780,   25860,    3860,     800,
    1300,    4900,   25900,     700,    4100,    1100,    4320,   25980,     840,    4140,
    4300,    3900,   25600,     700,    4400,    4480,    4300,   25600,     860,    3880,
    4900,    3400,   25200,    4100,    3300,    4600,    4060,   25440,    3720,    3400,
    4300,    3600,   26100,    4300,    1000,    4340,    4340,   26100,    4220,     840,
    4600,    3600,   26100,    4400,     800,    4400,    3840,   25900,    4600,     840,
    4900,    3100,   25400,    4300,    4400,    4940,    3540,   25540,    4700,    4260,
    1000,     800,   26200,    1500,     800,    1180,     960,   25940,     980,     820,
    4600,    3400,   26100,    1000,    2600,    4640,    3420,   26020,     800,    3040,
    1100,    1000,   26100,    3100,    2800,    1000,     960,   26040,    3240,    2740,
    4300,    3800,   26100,    3100,    3100,    4440,    3740,   26020,    3100,    2840,
    4300,    2900,   25700,    4300,    4100,    4200,    3260,   25500,    3900,    3580,
    4800,    5200,   25700,    2900,     700,    4420,    4060,   25880,    3540,     880,
    4300,    1000,   25900,    4300,     800,    4440,     960,   25960,    3840,    2500,
    4300,    1000,   26100,     800,     800,    5104,     860,   25980,     840,     860,
    1000,     800,   26100,    3400,    2600,    1040,     820,   26060,    3160,    2840,
    1300,    3300,   26100,     800,    4300,    1140,    4220,   25980,     800,    4140,
    4300,    3600,   25400,    3100,     700,    4300,    3880,   25880,    3780,     900,
    4300,    4900,   26100,    1000,    2800,    4500,    3860,   25940,     900,    2760,
    1000,    4600,   25900,    3100,    3400,    1080,    4020,   25920,    3580,    1400,
    1100,    3600,   26100,    4800,     800,    1100,    3900,   26020,    4540,     800,
    4600,     800,   26100,    3900,    2900,    4672,     920,   25920,    4140,    3940,
    1100,    1000,   26200,    3300,    4400,    1140,     920,   25940,    3300,    3180,
    1000,    4600,   25600,    3300,    2900,    1080,    3800,   25760,    3180,    2760,
    4800,    5100,   26100,    2900,    2800,    4640,    3880,   25740,    3260,    2920,
    4600,    3600,   26100,    2900,    2600,    4480,    4300,   25900,    3060,    2820,
    4900,    1000,   26200,     700,     700,    4560,     980,   26120,     740,     860,
